Edge1-Edge2	KappaScore
R-HSA:1912408 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:1912408 (term-term) R-HSA:171306	1.0
R-HSA:1912408 (term-term) R-HSA:176700	1.0
R-HSA:1912408 (term-term) R-HSA:181450	1.0
R-HSA:201681 (term-term) R-HSA:110328	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:110329	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:110330	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:110331	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:1214188	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:1221632	0.4023437500000003
R-HSA:201681 (term-term) R-HSA:1474165	0.4023437500000003
R-HSA:201681 (term-term) R-HSA:1500620	0.4023437500000003
R-HSA:201681 (term-term) R-HSA:157579	0.5828220858895702
R-HSA:201681 (term-term) R-HSA:171306	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:176700	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:181450	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:1912408	0.48927038626609465
R-HSA:201681 (term-term) R-HSA:195253	0.48927038626609465
R-HSA:201722 (term-term) KEGG:05203	0.5266821345707658
R-HSA:201722 (term-term) R-HSA:110328	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:110329	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:110330	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:110331	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:1214188	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:1221632	0.7034883720930235
R-HSA:201722 (term-term) R-HSA:1474165	0.7034883720930235
R-HSA:201722 (term-term) R-HSA:1500620	0.7034883720930235
R-HSA:201722 (term-term) R-HSA:157579	1.0
R-HSA:201722 (term-term) R-HSA:171306	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:176700	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:181450	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:1912408	0.8811188811188815
R-HSA:201722 (term-term) R-HSA:201681	0.5828220858895702
R-HSA:201722 (term-term-ontology) R-HSA:201681	2.0
R-HSA:202424 (term-term) R-HSA:195253	0.4687499999999995
R-HSA:212165 (term-term) KEGG:05203	0.4780701754385967
R-HSA:212165 (term-term) R-HSA:110328	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:110329	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:110330	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:110331	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:1214188	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:1221632	0.6344086021505378
R-HSA:212165 (term-term) R-HSA:1474165	0.6344086021505378
R-HSA:212165 (term-term) R-HSA:1500620	0.6344086021505378
R-HSA:212165 (term-term) R-HSA:157579	0.7034883720930235
R-HSA:212165 (term-term) R-HSA:171306	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:176700	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:181450	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:1912408	0.7848101265822786
R-HSA:212165 (term-term) R-HSA:201681	0.4023437500000003
R-HSA:212165 (term-term) R-HSA:201722	0.7034883720930235
R-HSA:212222 (term-term) KEGG:05203	0.5266821345707658
R-HSA:212222 (term-term) R-HSA:110328	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:110329	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:110330	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:110331	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:1214188	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:1221632	0.7034883720930235
R-HSA:212222 (term-term) R-HSA:1474165	0.7034883720930235
