Gene ID	1442plasma	1874plasma	3399plasma	3701plasma	4353plasma	4370plasma	4395plasma	4894plasma	BALL10	HD1	HD2	HD3	HD4	HD5	HD6						
PIK3CD	6.993945853	5.922370582	7.722108886	4.880587377	4.748277311	9.061393917	7.221861126	5.3498486	5.830029397	4.72119062	4.671244551	5.041707749	5.122969908	4.755395948	4.427791836						
FOXL1	5.312571327	1.279837988	5.162596281	4.070594158	2.989740856	6.099242837	1.575091298	2.034204456	3.359778842	2.31173307	2.849042544	1.451575272	2.750650881	2.0618724	1.891072873						
GPR173	5.395561432	2.669742809	1.446068456	2.106596868	2.936403548	3.072357591	1.83969426	2.205665535	2.6763176	1.285127475	1.375057794	0.96989938	0.43121408	1.712254973	2.066489385						
HLA-B	6.38884299	5.416363722	6.305553115	4.89252749	5.030700058	6.418636411	7.403101429	3.267719666	4.405479012	3.778425882	3.67119493	3.758220426	4.187004598	3.686614608	3.290211042						
HLA-C	6.168005873	4.81870963	5.929900481	4.248261423	4.816154568	6.005146725	8.465380791	3.032407733	3.239167079	4.562690565	4.037110229	3.460940618	2.43384397	4.505747185	3.629666697						
RHOJ	6.548730028	4.439926057	7.543992223	5.552065663	5.197342752	8.878010225	3.261316482	3.905579857	5.435207297	3.189976602	4.367653074	5.232521421	4.092457887	4.136607464	4.829079674						
FBXL19	3.172427822	7.332532003	2.884446765	1.797936075	2.460421337	6.03928818	5.100209659	2.95332528	3.34998212	2.479685691	3.172590802	3.770991625	2.623930357	1.654523086	3.206226864						
LOC124904145	8.821330467	7.152064135	10.16084656	7.459693326	6.918007075	9.887252788	9.721316848	6.128243531	7.101706125	6.682356561	6.065182884	7.280017447	6.653552221	6.13872873	6.037677582						
PLA2G2C	6.824485636	4.310770265	4.932617172	3.560629964	5.523537784	5.329364713	6.540583525	1.200903287	2.2195927	4.437767104	2.990202867	2.496847661	2.883461526	2.181890441	2.763937761						
CALCOCO2	6.685531202	3.95442274	5.737011891	3.606037372	3.69155522	6.351725991	5.601568995	3.997784536	4.693755335	2.849145672	2.960041998	4.039985155	3.049204926	3.310089254	3.416655379						
LINC02073	4.832669335	2.713608554	5.714482685	3.418419933	3.563110198	7.002113374	2.471312456	2.682531336	3.34802824	1.385193053	3.550030381	3.443829509	2.400840428	2.440059688	2.890642231						
TMEM26	7.36122321	2.657151139	4.025239443	4.143692167	1.925070654	5.140725291	5.966423749	4.375654847	4.565244731	2.676595523	3.336873409	3.183186429	3.827778663	1.903248103	3.612808268						
MB	3.154767226	3.959391396	1.661584211	1.552217704	2.773299379	2.015699075	4.44681928	1.662072562	1.440371832	0.698956358	1.329541789	0.923342972	1.55660892	1.070135565	1.827540245						
TRC-GCA2-2	6.016144318	5.278520807	8.698950255	5.54494176	5.281736043	9.248630551	6.69404217	3.362682035	5.420622843	5.044315706	5.144825871	5.708906639	5.284650251	5.342952933	3.913290377						
NBPF20	6.905808214	5.854805358	6.147270731	6.015987784	5.338071169	3.968421122	7.779917938	3.576287675	4.074469245	4.100553892	4.894242676	4.135861303	3.427372679	3.749571076	3.707614804						
TRT-TGT4-1	6.195853935	4.673119474	8.146195056	5.951277265	5.085626758	8.741845946	5.746327243	3.049465692	5.974151071	4.90918548	3.9187527	5.148880953	5.418796468	4.723565973	3.875558394						
LOC124904139	8.318593204	7.11802778	9.346568872	7.098432237	7.094773018	8.971288721	9.35308959	6.37673747	6.778618165	6.184995284	5.812859832	6.613305899	6.500912422	5.886396633	5.431171706						
CLSPN	5.799814762	1.983373324	3.773909504	2.745324568	2.058606161	4.356724858	3.241582016	3.936871176	2.731353847	2.003918576	2.388164996	2.464013147	1.226487101	2.031873916	2.38730431						
PDE7A	10.50387817	7.483039438	8.270939486	7.376267961	7.512768399	8.111115139	9.707077463	7.452549639	8.487328461	6.732376369	6.953479112	6.878811367	6.009014723	6.187473738	7.165898291						
LOC101928166	3.68426726	4.158292981	5.57320444	3.574514925	5.508080015	4.721308807	5.794710227	4.395180889	4.477873978	3.662176418	2.819159433	2.915739438	1.74808239	3.535242898	1.833823435						
LOC124904138	8.538984174	6.942215558	9.395047536	7.074472843	6.855908752	8.834805436	9.405483879	6.181952589	6.714518311	6.024027489	6.064530787	6.748111859	6.477657482	5.836804634	5.376222859						
ARFGAP3	6.610083429	3.758100632	4.990858414	4.388716505	4.814367355	4.858640257	5.884993418	3.905999704	3.055737384	3.27802124	2.63394715	2.982937605	3.214536882	3.592263743	3.000169928						
AIFM2	6.407580211	3.770097888	5.448847288	4.138161774	4.294860693	5.199968228	1.915163656	2.876883515	4.153735445	2.757435728	1.556947215	1.789110997	2.179126832	3.051301148	3.936520494						
CTBP1	7.749235096	5.93058459	8.71967196	6.661576155	6.120925862	10.12014451	5.892489942	5.757838726	6.908163582	5.934138906	5.905594071	5.476897789	6.400841164	5.626513141	6.119704753						
WDR74	9.944746181	8.207587259	11.82255656	9.3035257	8.544178	11.77231708	9.402050333	7.692903109	8.471471969	8.512204016	7.766065387	8.657318026	8.328323804	7.902954444	7.445709633						
RNU2-1	8.592451587	7.062656852	9.331542076	6.929386008	6.985163961	8.897111074	9.302838828	6.230882498	6.587187612	6.415984123	5.80790262	6.634367381	6.48950028	6.043190942	5.374734581						
LOC124904140	8.405014929	7.009611307	9.385707863	7.056282466	7.095426437	8.91440073	9.422119142	6.293122215	6.813336695	6.3787849	6.003236121	6.71875453	6.645039022	5.815970739	5.330562223						
LOC124904144	8.447388028	6.987879251	9.301920924	7.278840887	6.805709864	8.845925093	9.449082771	6.257925594	6.613758788	6.245220805	6.150433391	6.711918986	6.411694204	5.944275141	5.494670381						
H4C8	1.868730569	4.028986487	5.109435439	2.069885203	5.133737906	5.606172388	4.042868417	4.002275903	1.952550026	3.315271528	2.516397481	2.903100892	1.856276989	2.358263474	1.087415156						
STAG3	5.768113184	2.862595524	4.20108317	3.298217001	2.040424843	5.081617171	1.503851335	2.10738109	2.841115304	1.625337649	2.374432459	3.012133663	1.892283526	2.013287813	2.195850157						
CAMK1D	12.72450844	9.949804778	10.39105205	9.637499953	9.667370139	10.15853258	12.31983627	9.853568098	10.67962621	9.149368495	9.263824001	8.903928044	8.905539348	8.944534439	9.261550015						
TRQ-TTG3-1	2.813024469	4.214925373	4.771221397	4.222637789	3.314714602	7.068709072	5.193794907	1.420394267	3.838549353	3.48079351	3.249702003	3.519208124	2.359077877	2.841806058	2.656298668						
GSKIP	7.528517244	6.820035134	7.569811962	5.37414147	5.220974799	5.653778686	9.045273991	4.662480545	6.609614781	5.526161886	5.176127758	5.641365749	4.706003315	4.899418235	4.902143356						
RHNO1	3.442318662	2.081208002	2.334107126	3.947905428	4.94421037	2.724449605	3.687710838	2.419599342	3.530403683	2.414898437	1.677680424	2.38117397	0.830776093	1.414394075	2.241696006						
LOC124904135	8.538222466	7.062647035	9.358731404	7.031729707	6.863267408	8.726074695	9.34507921	6.203074086	6.732567781	6.252528175	5.696059705	6.854159579	6.595122196	6.10168329	5.062773105						
LOC124904142	8.598978819	7.072412148	9.38026554	7.09103167	7.029323004	8.95847206	9.449882334	6.424381968	6.671240079	6.465242904	6.079696586	6.90992505	6.585293505	6.095613584	5.439863337						
UHRF1	3.4128183	5.596247747	3.571007779	3.781766474	4.861962724	7.350693932	5.116928798	3.369398056	3.363406836	3.103825113	2.592855376	2.949762274	3.497989784	3.84200399	3.925976577						
LOC105371237	7.527280207	4.843231204	4.254490846	5.428047509	4.647402042	7.007017416	7.208131838	4.872949071	4.996767962	4.799047814	4.693006511	4.051431201	3.733736858	3.957354935	4.134134962						
LOC124904146	8.438218411	7.121866677	9.329934298	7.111562616	6.941716011	8.814588702	9.425718462	6.340323493	6.746397326	6.60098986	6.010687821	6.814411106	6.417653348	6.096998542	5.385121899						
LOC124904136	8.531599336	7.106103824	9.379550477	7.013224714	7.062739113	8.871056219	9.352054938	6.275547202	6.608944222	6.42227633	6.041561121	6.75115817	6.575105722	6.305337691	5.4545941						
LOC124903830	5.97922933	3.720841138	3.602046686	2.556889089	3.567254134	4.813712845	5.798492341	3.476505426	4.411274	2.625682866	2.734837243	2.825388068	3.007446192	2.872124105	3.200265626						
LOC124904141	8.378989483	7.043952037	9.405112963	7.110068675	6.859445321	8.89070623	9.436793411	6.318460672	6.716054527	6.481257755	6.062651032	7.027345398	6.535372913	5.882042208	5.367772827						
ANTXRL	6.048498839	3.182153076	4.10369405	1.362837005	4.100765936	4.318216176	4.829283207	3.98349964	3.026301625	1.88163219	2.321080478	2.674092632	2.262415631	2.864763299	3.282110129						
PPP2CA	3.910356082	4.915292076	3.392169544	4.298068399	3.426445776	5.20252751	1.79953059	4.507505023	3.443453082	2.989735171	1.967538738	3.376466641	1.478354545	2.228117278	2.289445639						
FLT4	4.749614061	4.719323796	6.8060842	4.535231533	5.791365826	8.114750428	6.244138249	4.893161167	5.272880926	3.685285405	4.713946827	4.841457898	4.401563376	4.219042638	4.192212553						
LOC124904137	8.432393119	7.093666563	9.361808883	7.032491911	7.112477686	8.935035374	9.288491587	6.33908992	6.693307921	6.47266344	6.217930643	6.861439529	6.422947037	6.165248176	5.414176277						
LOC124904143	8.357726251	7.095811632	9.365896644	7.059311451	6.891180506	8.927354412	9.286474833	6.343775289	6.743486486	6.717306665	5.82691888	6.874181712	6.430235878	6.02719144	5.501590322						
ARPP21	4.955692494	4.913119296	5.330714083	5.063884981	2.807443425	7.123042298	4.513277629	3.659294666	5.225748222	2.833187443	4.640976767	2.692215826	3.463035877	3.298468726	2.988615514						
TNFRSF1B	4.423486475	5.958656703	7.074519491	4.983367542	5.655858839	7.837475755	6.430075388	4.410690403	5.314124022	4.648534186	3.95518675	5.079824974	4.142946516	3.845350013	4.394448398						
EEF1A1	4.825325238	3.219559613	7.238816736	5.327365969	5.353528123	7.281873244	3.365212682	3.160877866	5.391515169	2.717701305	4.183808895	3.837298722	4.102180442	4.624999207	3.456426758						
FAM182A	13.88538808	11.14615023	12.49035954	10.79837968	11.14042808	12.47914149	13.18734778	11.02266781	11.75963173	10.41682598	10.61204352	10.81853873	10.20387152	10.27717135	10.48734352						
CCND2	1.889243843	2.742205029	6.103164557	3.23426094	4.468463061	4.633297188	2.379554508	4.00552617	3.421817707	2.626893439	2.747917713	2.613531258	1.661796612	3.031138091	2.625523479						
LOC105376959	3.636692201	3.871199131	5.336759382	2.845585392	2.929417934	5.396825878	3.338519089	2.337491817	2.70268792	2.130628846	1.881974836	2.881055117	2.63446192	2.513991335	2.449492359						
CDCA7L	7.564238785	4.886688239	5.377735823	4.680693568	4.493909886	4.130851053	4.085218916	4.517519734	6.180789935	3.985229269	3.837382357	4.016530346	3.254506685	3.614918079	4.218744651						
PDAP1	6.310230604	3.846934525	7.733580424	5.190180888	4.190471741	9.151849248	5.078488665	3.175998725	5.281528513	4.34449678	4.192757879	4.227407702	4.152592371	3.677179906	2.036492047						
FAM182B	13.78596159	10.98702041	12.56475494	10.68553388	11.16530979	12.3242987	13.01325326	10.92779401	11.7929434	10.41969385	10.57590412	10.67212366	10.18765586	10.25980475	10.34110594						
TPX2	5.431168257	3.105689523	5.457237452	2.229176815	5.049200847	5.295384408	3.697280448	3.667832385	2.708024747	3.704725567	3.051082122	3.04177134	2.016748296	2.310664615	2.071491702						
PGM1	8.7580087	6.873961844	4.664427171	5.912599861	5.232384105	6.296228243	7.311102408	5.516455648	5.754320316	4.135261993	5.148159818	4.560262528	5.132952048	5.248490454	5.409522469						
SNORD3D	11.53703497	8.755485962	11.5804371	9.165915738	9.137282766	11.41624431	11.78607295	8.17360393	10.77666311	8.885370711	8.651393422	9.804066514	8.812740426	8.664983162	7.761132396						
LOC100132077	9.116786982	6.183597792	7.522729468	5.806847587	6.331193304	7.470993382	8.325019107	6.350536975	7.294794512	5.852419995	6.04457225	5.693898819	5.245431081	5.867927526	5.535038932						
PRKAR2A	6.087276562	4.185173388	4.276251485	4.063033533	8.207015279	4.037974281	5.855305677	4.578825614	6.063512763	4.419445091	4.83100253	3.56948099	4.205348235	4.32547143	4.16206028						
SNORD3B-1	11.54834506	8.852572772	11.65113178	9.297267944	9.215516097	11.4152884	11.7961553	8.19013924	10.8533838	9.043185138	8.680457025	9.795173065	8.838545493	8.835164905	7.819436673						
SNORD3C	11.48217194	8.834306207	11.64624967	9.288522925	9.212501596	11.38329225	11.78277438	8.275773389	10.85069216	8.895511825	8.817581549	9.802575098	8.786943964	8.769439596	7.850563018						
SH3TC2-DT	8.55616837	6.223388303	7.643341705	6.183359137	7.089492722	7.223980691	8.722013566	6.291251374	6.625741519	5.981988546	4.977763132	5.918934889	5.952955947	5.280215067	5.636508925						
LOC105374776	7.103353555	2.979551575	4.423831053	4.908040857	3.084688157	3.80108947	5.132524538	3.222942802	3.78536768	3.742590592	2.793572562	3.406805378	3.275246423	3.266430152	3.234245232						
NBPF26	5.04029105	3.543497396	4.432160678	3.4024749	3.854751713	2.254898147	5.421238386	2.525444316	2.716131645	2.612854033	1.389539291	3.499764608	2.198168494	2.362092555	2.18101336						
ZNF782	9.205580805	6.46889364	7.507450699	6.116071203	6.357797469	7.25275534	8.289054309	6.416260251	7.449306357	5.973865723	5.840133985	5.559837486	5.769669267	5.94771194	5.847141134						
LIN7A	10.21306697	7.423924104	8.534292387	7.463305057	7.724618478	8.77935997	10.05760435	8.103393601	8.66171904	7.237369965	7.220127704	6.815208019	7.049100325	7.213251747	7.160617174						
SNORD3B-2	11.50540779	8.865327998	11.59123684	9.247304299	9.222524473	11.40823644	11.74846048	8.071658646	10.79679564	8.875131248	8.807934744	9.800846797	8.852866135	8.932321096	7.854864375						
